No.,1文字目,3文字目,出現数
974,く,や,40
975,く,ゆ,10
976,く,よ,58
977,く,ら,72
978,く,り,122
979,く,る,181
980,く,れ,111
981,く,ろ,27
982,く,わ,36
983,く,ゐ,1
984,く,ゑ,0
985,く,を,106
986,く,ん,537
987,く,ヴ,0
988,く,が,124
989,く,ぎ,11
990,く,ぐ,9
991,く,げ,18
992,く,ご,18
993,く,ざ,3
994,く,じ,65
995,く,ず,15
996,く,ぜ,12
997,く,ぞ,3
998,く,だ,62
999,く,ぢ,0
1000,く,づ,8
1001,く,で,104
1002,く,ど,52
1003,く,ば,23
1004,く,び,17
1005,く,ぶ,44
1006,く,べ,28
1007,く,ぼ,10
1008,く,ぱ,1
1009,く,ぴ,1
1010,く,ぷ,5
1011,く,ぺ,0
1012,く,ぽ,2
1013,く,ぁ,0
1014,く,ぃ,2
1015,く,ぅ,1
1016,く,ぇ,4
1017,く,ぉ,0
1018,く,っ,221
1019,く,ゃ,62
1020,く,ゅ,79
1021,く,ょ,185
1022,く,ゎ,0
1023,く,ヵ,0
1024,く,ヶ,0
1025,く,ー,73
1026,く,～,2
1027,く,…,11
1028,く,・,5
1029,く,、,232
1030,く,。,45
1031,く,，,0
1032,く,．,1
1033,く,；,0
1034,く,：,0
1035,く,！,10
1036,く,？,3
1037,く,「,42
1038,く,」,26
1039,く,（,7
1040,く,）,7
1041,く,［,0
1042,く,］,0
1043,く,｛,0
1044,く,｝,0
1045,く,‘,0
1046,く,’,0
1047,く,“,0
1048,く,”,1
1049,く,1,13
1050,く,2,7
1051,く,3,8
1052,く,4,3
1053,く,5,8
1054,く,6,1
1055,く,7,3
1056,く,8,2
1057,く,9,3
1058,く,0,18
1059,く,＝,0
1060,く,＜,0
1061,く,＞,0
1062,く,＋,0
1063,く,?,0
1064,く,＊,0
1065,く,×,1
1066,く,／,0
1067,く,÷,0
1068,く,＃,0
1069,く,＄,0
1070,く,￥,0
1071,く,％,0
1072,く,＆,0
1073,け,あ,42
1074,け,い,181
1075,け,う,21
1076,け,え,25
1077,け,お,22
1078,け,か,151
1079,け,き,99
1080,け,く,42
1081,け,け,39
1082,け,こ,108
1083,け,さ,61
1084,け,し,206
1085,け,す,66
1086,け,せ,69
1087,け,そ,20
1088,け,た,57
1089,け,ち,22
1090,け,つ,13
1091,け,て,24
1092,け,と,111
1093,け,な,104
1094,け,に,58
1095,け,ぬ,1
1096,け,ね,7
1097,け,の,116
1098,け,は,108
1099,け,ひ,22
1100,け,ふ,15
1101,け,へ,2
1102,け,ほ,13
1103,け,ま,34
1104,け,み,23
1105,け,む,3
1106,け,め,23
1107,け,も,52
1108,け,や,32
1109,け,ゆ,5
1110,け,よ,26
1111,け,ら,31
1112,け,り,57
1113,け,る,11
1114,け,れ,62
1115,け,ろ,10
1116,け,わ,13
1117,け,ゐ,0
1118,け,ゑ,0
1119,け,を,79
1120,け,ん,20
1121,け,ヴ,0
1122,け,が,63
1123,け,ぎ,8
1124,け,ぐ,1
1125,け,げ,2
1126,け,ご,10
1127,け,ざ,10
1128,け,じ,24
1129,け,ず,2
1130,け,ぜ,3
1131,け,ぞ,6
1132,け,だ,31
1133,け,ぢ,0
1134,け,づ,0
1135,け,で,56
1136,け,ど,80
1137,け,ば,115
1138,け,び,7
1139,け,ぶ,6
1140,け,べ,11
1141,け,ぼ,5
1142,け,ぱ,2
1143,け,ぴ,3
1144,け,ぷ,1
1145,け,ぺ,0
1146,け,ぽ,11
1147,け,ぁ,0
1148,け,ぃ,0
1149,け,ぅ,0
1150,け,ぇ,0
1151,け,ぉ,0
1152,け,っ,30
1153,け,ゃ,17
1154,け,ゅ,6
1155,け,ょ,19
1156,け,ゎ,0
1157,け,ヵ,0
1158,け,ヶ,0
1159,け,ー,5
1160,け,～,0
1161,け,…,6
1162,け,・,1
1163,け,、,171
1164,け,。,88
1165,け,，,0
1166,け,．,1
1167,け,；,0
1168,け,：,0
1169,け,！,2
1170,け,？,2
1171,け,「,11
1172,け,」,17
1173,け,（,4
1174,け,）,7
1175,け,［,0
1176,け,］,0
1177,け,｛,0
1178,け,｝,0
1179,け,‘,0
1180,け,’,0
1181,け,“,0
1182,け,”,2
1183,け,1,1
1184,け,2,3
1185,け,3,3
1186,け,4,3
1187,け,5,1
1188,け,6,4
1189,け,7,0
1190,け,8,0
1191,け,9,1
1192,け,0,1
1193,け,＝,1
1194,け,＜,0
1195,け,＞,0
1196,け,＋,0
1197,け,?,0
1198,け,＊,0
1199,け,×,0
1200,け,／,0
1201,け,÷,0
1202,け,＃,0
1203,け,＄,0
1204,け,￥,0
1205,け,％,0
1206,け,＆,0
1207,こ,あ,104
1208,こ,い,224
1209,こ,う,70
1210,こ,え,91
1211,こ,お,85
1212,こ,か,380
1213,こ,き,104
1214,こ,く,62
1215,こ,け,30
1216,こ,こ,124
1217,こ,さ,104
1218,こ,し,269
1219,こ,す,83
1220,こ,せ,76
1221,こ,そ,44
1222,こ,た,82
1223,こ,ち,108
1224,こ,つ,58
1225,こ,て,95
1226,こ,と,193
1227,こ,な,239
1228,こ,に,397
1229,こ,ぬ,0
1230,こ,ね,10
1231,こ,の,250
1232,こ,は,413
1233,こ,ひ,53
1234,こ,ふ,31
1235,こ,へ,48
1236,こ,ほ,40
1237,こ,ま,119
1238,こ,み,56
1239,こ,む,22
1240,こ,め,19
1241,こ,も,294
1242,こ,や,54
1243,こ,ゆ,21
1244,こ,よ,80
1245,こ,ら,97
1246,こ,り,44
1247,こ,る,55
1248,こ,れ,89
1249,こ,ろ,174
1250,こ,わ,79
1251,こ,ゐ,0
1252,こ,ゑ,0
1253,こ,を,437
1254,こ,ん,148
1255,こ,ヴ,0
1256,こ,が,442
1257,こ,ぎ,22
1258,こ,ぐ,8
1259,こ,げ,29
1260,こ,ご,40
1261,こ,ざ,22
1262,こ,じ,106
1263,こ,ず,23
1264,こ,ぜ,5
1265,こ,ぞ,4
1266,こ,だ,133
1267,こ,ぢ,0
1268,こ,づ,2
1269,こ,で,433
1270,こ,ど,121
1271,こ,ば,115
1272,こ,び,19
1273,こ,ぶ,16
1274,こ,べ,4
1275,こ,ぼ,9
1276,こ,ぱ,11
1277,こ,ぴ,5
1278,こ,ぷ,18
1279,こ,ぺ,1
1280,こ,ぽ,6
1281,こ,ぁ,0
1282,こ,ぃ,0
1283,こ,ぅ,0
1284,こ,ぇ,0
1285,こ,ぉ,0
1286,こ,っ,53
1287,こ,ゃ,24
1288,こ,ゅ,20
1289,こ,ょ,20
1290,こ,ゎ,0
1291,こ,ヵ,0
1292,こ,ヶ,0
1293,こ,ー,9
1294,こ,～,0
1295,こ,…,5
1296,こ,・,6
1297,こ,、,161
1298,こ,。,67
1299,こ,，,0
1300,こ,．,0
1301,こ,；,0
1302,こ,：,1
1303,こ,！,2
1304,こ,？,3
1305,こ,「,14
1306,こ,」,22
1307,こ,（,15
1308,こ,）,10
1309,こ,［,0
1310,こ,］,0
1311,こ,｛,0
1312,こ,｝,0
1313,こ,‘,0
1314,こ,’,0
1315,こ,“,4
1316,こ,”,0
1317,こ,1,6
1318,こ,2,10
1319,こ,3,7
1320,こ,4,2
1321,こ,5,3
1322,こ,6,0
1323,こ,7,0
1324,こ,8,0
1325,こ,9,0
1326,こ,0,0
1327,こ,＝,0
1328,こ,＜,0
1329,こ,＞,0
1330,こ,＋,0
1331,こ,?,1
1332,こ,＊,1
1333,こ,×,0
1334,こ,／,0
1335,こ,÷,0
1336,こ,＃,0
1337,こ,＄,0
1338,こ,￥,0
1339,こ,％,0
1340,こ,＆,0
1341,さ,あ,45
1342,さ,い,112
1343,さ,う,39
1344,さ,え,22
1345,さ,お,35
1346,さ,か,156
1347,さ,き,118
1348,さ,く,35
1349,さ,け,52
1350,さ,こ,59
1351,さ,さ,80
1352,さ,し,198
1353,さ,す,44
1354,さ,せ,41
1355,さ,そ,25
1356,さ,た,219
1357,さ,ち,32
1358,さ,つ,53
1359,さ,て,201
1360,さ,と,100
1361,さ,な,114
1362,さ,に,216
1363,さ,ぬ,1
1364,さ,ね,41
1365,さ,の,230
1366,さ,は,171
1367,さ,ひ,34
1368,さ,ふ,17
1369,さ,へ,6
1370,さ,ほ,17
1371,さ,ま,77
1372,さ,み,31
1373,さ,む,5
1374,さ,め,17
1375,さ,も,42
1376,さ,や,44
1377,さ,ゆ,6
1378,さ,よ,39
1379,さ,ら,51
1380,さ,り,22
1381,さ,る,159
1382,さ,れ,8
1383,さ,ろ,17
1384,さ,わ,23
1385,さ,ゐ,0
1386,さ,ゑ,0
1387,さ,を,76
1388,さ,ん,40
1389,さ,ヴ,0
1390,さ,が,141
1391,さ,ぎ,18
1392,さ,ぐ,4
1393,さ,げ,13
1394,さ,ご,63
1395,さ,ざ,19
1396,さ,じ,38
1397,さ,ず,14
1398,さ,ぜ,2
1399,さ,ぞ,4
1400,さ,だ,38
1401,さ,ぢ,0
1402,さ,づ,11
1403,さ,で,73
1404,さ,ど,29
1405,さ,ば,20
1406,さ,び,30
1407,さ,ぶ,34
1408,さ,べ,3
1409,さ,ぼ,10
1410,さ,ぱ,9
1411,さ,ぴ,0
1412,さ,ぷ,1
1413,さ,ぺ,0
1414,さ,ぽ,6
1415,さ,ぁ,0
1416,さ,ぃ,0
1417,さ,ぅ,0
1418,さ,ぇ,0
1419,さ,ぉ,0
1420,さ,っ,31
1421,さ,ゃ,1
1422,さ,ゅ,0
1423,さ,ょ,29
1424,さ,ゎ,0
1425,さ,ヵ,0
1426,さ,ヶ,0
1427,さ,ー,14
1428,さ,～,0
1429,さ,…,1
1430,さ,・,6
1431,さ,、,163
1432,さ,。,105
1433,さ,，,0
1434,さ,．,0
1435,さ,；,0
1436,さ,：,0
1437,さ,！,4
1438,さ,？,1
1439,さ,「,10
1440,さ,」,51
1441,さ,（,21
1442,さ,）,16
1443,さ,［,0
1444,さ,］,0
1445,さ,｛,0
1446,さ,｝,0
1447,さ,‘,0
1448,さ,’,0
1449,さ,“,0
1450,さ,”,0
1451,さ,1,0
1452,さ,2,1
